,rl_yaw,rl_roll,rl_pitch
345,-69.6875,-13.4375,-63.4375
346,-73.3125,-12.75,-63.625
347,-77.0625,-12.3125,-63.9375
348,-79.75,-12.4375,-64.125
349,-77.8125,-12.4375,-63.6875
350,-76.1875,-12.3125,-63.1875
351,-75.5,-12.625,-62.0
352,-75.0625,-12.9375,-59.75
353,-75.75,-13.4375,-57.5625
354,-76.3125,-13.8125,-56.1875
355,-76.25,-13.625,-55.6875
356,-76.625,-13.8125,-55.375
357,-74.375,-14.0,-55.0
358,-71.875,-14.125,-54.5625
359,-68.8125,-14.3125,-54.0
360,-65.1875,-14.1875,-53.1875
361,-60.0,-13.6875,-52.5
362,-52.9375,-12.875,-52.125
363,-47.125,-12.25,-51.6875
364,-43.75,-12.625,-50.9375
365,-41.0,-12.0,-51.0625
366,-37.75,-11.75,-51.1875
367,-34.625,-11.4375,-50.9375
368,-32.25,-11.375,-50.9375
369,-29.25,-11.375,-51.5625
370,-25.9375,-11.375,-52.125
371,-21.5625,-11.625,-52.0625
372,-16.75,-11.625,-52.25
373,-13.75,-11.375,-52.875
374,-10.5,-10.9375,-53.3125
375,-6.625,-10.5625,-53.5
376,-1.6875,-10.6875,-54.125
377,3.4375,-10.375,-55.0625
378,9.6875,-10.0625,-56.25
379,15.375,-9.9375,-57.4375
380,19.8125,-9.8125,-58.375
381,24.625,-9.3125,-59.9375
382,28.1875,-9.1875,-60.9375
383,27.5625,-10.0625,-59.375
384,28.625,-10.3125,-58.6875
385,30.25,-9.875,-58.8125
386,30.25,-10.0625,-58.4375
387,30.1875,-10.125,-57.375
388,30.125,-9.375,-55.0
389,30.75,-9.25,-52.4375
390,32.125,-8.875,-50.875
391,32.9375,-8.5625,-49.4375
392,32.875,-8.5625,-48.625
393,33.375,-8.3125,-48.0
394,32.5625,-8.625,-47.0
395,31.0,-9.3125,-45.5
396,27.6875,-9.9375,-44.6875
397,25.0625,-10.125,-44.25
398,20.875,-10.625,-43.8125
399,15.8125,-11.75,-43.125
400,9.875,-13.0625,-42.1875
401,6.4375,-13.6875,-42.5625
402,4.3125,-13.6875,-42.8125
403,0.25,-14.4375,-42.875
404,-3.6875,-15.25,-43.125
405,-8.6875,-16.0625,-43.25
406,-14.0625,-16.375,-43.8125
407,-18.75,-16.75,-44.0
408,-23.1875,-17.0,-44.625
409,-27.25,-17.5,-44.9375
410,-32.0,-17.6875,-45.3125
411,-36.75,-17.625,-45.375
412,-41.875,-17.75,-45.6875
413,-46.0625,-17.9375,-46.1875
414,-49.25,-17.875,-46.875
415,-52.875,-17.6875,-47.375
416,-56.25,-17.6875,-47.8125
417,-59.75,-17.75,-48.625
418,-62.5625,-19.0,-49.5625
419,-64.3125,-20.0,-50.1875
420,-65.6875,-20.1875,-50.625
421,-65.625,-19.875,-50.375
422,-65.4375,-19.1875,-49.5
423,-66.1875,-19.3125,-46.9375
424,-66.9375,-19.4375,-43.4375
425,-67.375,-19.5,-40.3125
426,-67.25,-19.4375,-38.5625
427,-67.1875,-19.25,-37.9375
428,-65.9375,-19.0,-37.5
429,-63.0625,-18.125,-36.6875
430,-59.625,-17.3125,-36.125
431,-56.8125,-16.5625,-35.8125
432,-53.5,-15.5625,-35.6875
433,-49.5625,-14.6875,-35.75
434,-45.0625,-13.0,-35.8125
435,-39.625,-11.5625,-35.9375
436,-35.3125,-10.4375,-36.125
437,-31.25,-10.375,-35.875
438,-27.6875,-10.25,-36.0
439,-24.25,-10.375,-36.375
440,-20.625,-9.5625,-36.8125
441,-17.0625,-8.8125,-37.5625
442,-13.5,-7.625,-38.5
443,-9.1875,-5.6875,-40.125
444,-5.0,-4.4375,-42.0
445,-1.5625,-3.8125,-43.375
446,2.75,-3.6875,-44.625
447,7.875,-3.25,-45.8125
448,14.625,-3.125,-48.0
449,22.25,-2.8125,-50.8125
450,28.1875,-2.3125,-52.6875
451,32.125,-2.5,-53.5
452,34.6875,-2.875,-53.6875
453,37.25,-3.125,-53.5
454,38.625,-3.125,-52.375
455,39.5625,-2.375,-49.9375
456,39.25,-1.6875,-45.8125
457,38.0,-0.3125,-38.9375
458,36.9375,-0.125,-35.5
459,35.9375,-0.875,-33.0
460,33.25,-2.1875,-30.625
461,29.25,-3.4375,-28.5
462,23.125,-5.5625,-27.1875
463,17.4375,-7.4375,-26.625
464,10.125,-8.9375,-26.3125
465,2.375,-10.875,-26.375
466,-4.3125,-12.6875,-27.375
467,-11.25,-14.125,-28.5625
468,-19.6875,-16.125,-30.6875
469,-26.0,-17.3125,-32.9375
470,-32.0,-18.5,-35.75
471,-36.5625,-19.1875,-38.0
472,-40.875,-19.9375,-39.875
473,-45.9375,-20.3125,-42.0625
474,-50.125,-21.0625,-43.8125
475,-55.75,-21.875,-46.75
476,-59.875,-21.8125,-48.625
477,-64.625,-21.6875,-49.75
478,-68.3125,-21.25,-49.6875
479,-70.1875,-20.375,-48.875
480,-71.4375,-19.5625,-48.1875
481,-71.875,-19.125,-47.625
482,-71.625,-18.8125,-47.5
483,-70.0,-18.3125,-46.875
484,-67.8125,-17.625,-46.1875
485,-62.8125,-16.625,-45.625
486,-53.25,-15.125,-45.125
487,-43.375,-13.4375,-44.625
488,-34.9375,-12.0,-44.375
489,-27.3125,-11.3125,-44.8125
490,-21.1875,-11.25,-44.875
491,-16.8125,-11.125,-45.0
492,-14.0625,-11.125,-44.9375
493,-13.25,-11.6875,-44.9375
494,-13.75,-12.6875,-45.0625
495,-14.875,-13.875,-45.25
496,-16.0,-14.5,-45.4375
497,-16.375,-14.3125,-45.5625
498,-16.75,-14.1875,-45.625
499,-17.5,-14.0625,-45.6875
500,-18.0,-13.625,-45.6875
501,-18.1875,-12.875,-45.875
502,-18.8125,-12.5625,-45.875
503,-18.75,-12.4375,-45.9375
504,-18.6875,-12.5625,-45.9375
505,-18.6875,-12.875,-45.875
506,-18.5625,-13.1875,-45.75
507,-18.1875,-13.5,-45.8125
508,-18.3125,-13.8125,-46.0
509,-18.0,-14.5,-46.0
510,-18.3125,-15.8125,-45.6875
511,-18.5625,-17.1875,-45.4375
512,-19.3125,-18.5625,-45.25
513,-19.25,-20.25,-44.9375
514,-18.625,-22.3125,-44.1875
515,-17.375,-23.3125,-44.0625
516,-16.6875,-23.75,-44.25
517,-16.125,-24.1875,-44.375
518,-15.375,-24.375,-44.3125
519,-15.0625,-24.0,-44.4375
520,-14.9375,-23.0625,-44.6875
521,-15.0,-21.9375,-45.0625
522,-14.8125,-20.25,-45.5
523,-14.6875,-18.8125,-45.75
524,-15.0625,-17.5625,-46.0
525,-15.8125,-16.25,-46.0
526,-16.875,-14.6875,-46.125
527,-17.875,-12.75,-46.5625
528,-18.5,-10.125,-46.875
529,-20.25,-8.0,-47.375
530,-21.75,-5.9375,-47.375
531,-23.5,-4.0,-47.375
532,-24.375,-1.875,-47.5
533,-24.1875,-0.25,-47.75
534,-24.125,1.125,-48.0
535,-24.4375,1.75,-48.125
536,-24.9375,2.125,-48.25
537,-24.1875,2.375,-48.5
538,-23.75,1.375,-48.375
539,-23.375,-0.9375,-48.125
540,-22.3125,-2.8125,-48.3125
541,-19.5,-3.8125,-48.6875
542,-18.5625,-6.375,-48.25
543,-19.0625,-9.0,-47.5
544,-18.75,-10.5,-47.3125
545,-19.0,-11.1875,-47.375
546,-19.3125,-11.75,-47.5
547,-19.375,-12.625,-47.5625
548,-20.0625,-13.4375,-47.5
549,-20.125,-13.6875,-47.625
550,-19.5,-13.625,-47.625
551,-19.4375,-13.6875,-47.5625
552,-19.375,-13.75,-47.6875
553,-19.1875,-13.8125,-47.75
554,-19.0625,-13.8125,-47.6875
555,-18.5625,-13.625,-47.875
556,-18.3125,-13.5,-47.9375
557,-18.5,-13.4375,-47.875
558,-18.875,-13.5,-48.0625
559,-18.9375,-13.1875,-48.25
560,-19.3125,-13.25,-48.5
561,-19.3125,-13.375,-48.5625
562,-18.5625,-13.625,-48.375
563,-19.4375,-14.375,-48.0625
564,-19.625,-14.8125,-47.8125
565,-19.625,-14.9375,-48.25
566,-19.75,-15.125,-49.8125
567,-19.6875,-15.125,-51.9375
568,-19.75,-15.0625,-54.5625
569,-20.125,-15.0625,-57.1875
570,-20.5625,-15.125,-59.6875
